,Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance,Driver,outlier
207969,39:52.7,9.22,127.70618400000001,0.0,0.244141,-1.118652,0.046692000000000004,1.145935,32.821865,-117.158325,263.084045,49.674976,0.0,0.06514,Zhisen,True
207970,39:52.7,9.22,127.70618400000001,0.0,0.244141,-1.118652,0.046692000000000004,1.145935,32.821865,-117.158325,263.084045,49.674976,0.0,0.06514,Zhisen,True
207983,39:54.2,10.69,127.256111,0.0,0.051177999999999994,-0.8643040000000001,-0.065231,0.8682709999999999,32.821868,-117.15853600000001,263.084045,49.674976,0.0,0.06514,Zhisen,True
207984,39:54.3,10.69,127.256111,0.0,0.092926,-1.112274,-0.26503000000000004,1.147183,32.821868,-117.15853600000001,263.084045,49.674976,0.0,0.06514,Zhisen,True
208045,40:01.9,14.97,126.508003,0.0,-0.091782,-0.83905,0.06205700000000001,0.846333,32.821892999999996,-117.15946799999999,269.296906,49.337421,0.0,0.06514,Zhisen,True
208046,40:01.9,14.97,126.508003,0.0,-0.091782,-0.83905,0.06205700000000001,0.846333,32.821892999999996,-117.15946799999999,269.296906,49.337421,0.0,0.06514,Zhisen,True
208047,40:02.1,14.97,126.508003,0.0,-0.056595000000000006,-0.815018,-0.139572,0.828817,32.821892999999996,-117.15946799999999,270.371643,49.923095,0.0,0.06514,Zhisen,True
208048,40:02.2,15.86,126.06250800000001,0.0,-0.09079,-0.8564,-0.14761400000000002,0.873758,32.821915999999995,-117.159631,270.371643,49.923095,0.0,0.06514,Zhisen,True
208049,40:02.3,15.86,126.06250800000001,0.0,-0.09079,-0.8564,-0.14761400000000002,0.873758,32.821915999999995,-117.159631,270.371643,49.923095,0.0,0.06514,Zhisen,True
208154,40:14.6,23.280001000000002,119.201546,0.0,0.179016,-1.094437,-0.366562,1.167992,32.82287,-117.16185,293.122314,48.650019,0.0,0.06514,Zhisen,True
208155,40:14.6,23.280001000000002,119.201546,0.0,0.179016,-1.094437,-0.366562,1.167992,32.82287,-117.16185,293.122314,48.650019,0.0,0.06514,Zhisen,True
208187,40:18.3,22.5,117.621346,0.0,-0.066071,-1.246536,-0.098969,1.252203,32.823316999999996,-117.162651,298.404175,48.789939000000004,0.0,0.06514,Zhisen,True
208188,40:18.4,22.5,117.621346,0.0,-0.05506900000000001,-1.157837,-0.096191,1.16313,32.823316999999996,-117.162651,298.404175,48.789939000000004,0.0,0.06514,Zhisen,True
208189,40:18.4,22.5,117.621346,0.0,-0.05506900000000001,-1.157837,-0.096191,1.16313,32.823316999999996,-117.162651,298.404175,48.789939000000004,0.0,0.06514,Zhisen,True
208285,40:29.0,23.26,118.27961,0.0,-0.347458,-1.4159549999999999,0.336411,1.496271,32.824992,-117.16411200000002,314.34845,46.223345,0.0,0.06514,Zhisen,True
208286,40:29.1,23.040001,118.01368000000001,0.0,-0.09082,-1.269089,-0.16828900000000002,1.283416,32.825158,-117.16423700000001,314.34845,46.223345,0.0,0.06514,Zhisen,True
208313,40:31.9,22.530001000000002,118.53235600000001,0.0,-0.0336,-1.209473,0.033645999999999995,1.210407,32.825514,-117.16447,314.34845,46.223345,0.0,0.06514,Zhisen,True
